2025-11-08 14:07:37 [main] WARN  org.testng.xml.TestNGContentHandler - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Users\admin\eclipse-workspace1\SwiftTest\Master.xml] otherwise TestNG may fail or not work as expected.
2025-11-08 14:07:42 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-11-08 14:07:42 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-11-08 14:07:43 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-11-08 14:07:43 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-11-08 14:07:47 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-11-08 14:07:47 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
2025-11-08 14:07:54 [main] INFO  com.testCases.TC002_UserLogin - *********Starting UserLogin testcase**********
2025-11-08 14:07:54 [main] INFO  com.testCases.TC002_UserLogin - click on myaccount
2025-11-08 14:07:55 [main] INFO  com.testCases.TC002_UserLogin - click on Login
2025-11-08 14:07:55 [main] INFO  com.testCases.TC002_UserLogin - Providing login details
2025-11-08 14:07:55 [main] INFO  com.testCases.TC002_UserLogin - Valaidating confirmation message
2025-11-08 14:07:56 [main] INFO  com.testCases.TC002_UserLogin - login test is finished
