2025-11-08 14:40:08 [main] WARN  org.testng.xml.TestNGContentHandler - It is strongly recommended to add "<!DOCTYPE suite SYSTEM "https://testng.org/testng-1.1.dtd" >" at the top of the suite file [C:\Users\admin\eclipse-workspace1\SwiftTest\Master.xml] otherwise TestNG may fail or not work as expected.
2025-11-08 14:40:13 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-11-08 14:40:13 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-11-08 14:40:14 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-11-08 14:40:14 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-11-08 14:40:18 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-11-08 14:40:18 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
2025-11-08 14:40:23 [main] INFO  com.testCases.TC002_UserLogin - *********Starting UserLogin testcase**********
2025-11-08 14:40:24 [main] INFO  com.testCases.TC002_UserLogin - click on myaccount
2025-11-08 14:40:24 [main] INFO  com.testCases.TC002_UserLogin - click on Login
2025-11-08 14:40:24 [main] INFO  com.testCases.TC002_UserLogin - Providing login details
2025-11-08 14:40:25 [main] INFO  com.testCases.TC002_UserLogin - Valaidating confirmation message
2025-11-08 14:40:25 [main] INFO  com.testCases.TC002_UserLogin - login test is finished
