2025-11-24 14:09:27 [main] INFO  com.testCases.TC001_AccountRegistration - Opening firefox browser
2025-11-24 14:09:34 [main] INFO  com.testCases.TC001_AccountRegistration - *********Starting Accountregitration testcase**********
2025-11-24 14:09:34 [main] INFO  com.testCases.TC001_AccountRegistration - click on myaccount
2025-11-24 14:09:35 [main] INFO  com.testCases.TC001_AccountRegistration - click on register
2025-11-24 14:09:35 [main] INFO  com.testCases.TC001_AccountRegistration - Providing customer details
2025-11-24 14:09:38 [main] INFO  com.testCases.TC001_AccountRegistration - Valaidating confirmation message
2025-11-24 14:09:38 [main] INFO  com.testCases.TC001_AccountRegistration - Account Created Successfully
2025-11-24 14:09:38 [main] INFO  com.testCases.TC001_AccountRegistration - Account regstration test is finished
2025-11-24 14:09:40 [main] INFO  com.testCases.TC002_UserLogin - Opening firefox browser
2025-11-24 14:09:46 [main] INFO  com.testCases.TC002_UserLogin - *********Starting UserLogin testcase**********
2025-11-24 14:09:47 [main] INFO  com.testCases.TC002_UserLogin - click on myaccount
2025-11-24 14:09:47 [main] INFO  com.testCases.TC002_UserLogin - click on Login
2025-11-24 14:09:47 [main] INFO  com.testCases.TC002_UserLogin - Providing login details
2025-11-24 14:09:48 [main] INFO  com.testCases.TC002_UserLogin - Valaidating confirmation message
2025-11-24 14:09:48 [main] INFO  com.testCases.TC002_UserLogin - Login Successfully
2025-11-24 14:09:48 [main] INFO  com.testCases.TC002_UserLogin - login test is finished
